iso3c,year,ChildMortality,GDPpc
BTN,2011,40.1,7498.95552210622
BTN,2016,31.9,10866.38475794
BTN,2021,26.7,12795.351765707
BTN,2012,38,8140.41451013007
BOL,2013,35.2,6500.87680686824
BOL,2012,37.3,5814.07013496348
BOL,2021,24.7,8885.70763881863
BOL,2007,50,4509.2105538811
BOL,2015,31.6,6992.12758144741
BOL,2011,39.5,5363.98790270809
BOL,2006,53.1,4273.03812270534
BOL,2019,26.6,8890.46295366602
BOL,2020,25.6,8110.11475624002
BOL,2010,41.9,5079.38272115006
BOL,2016,30.2,7345.82684148722
BOL,2008,47.1,4794.60369958426
BOL,2009,44.4,4902.61057678333
BOL,2001,71.4,3436.37487036006
BOL,2014,33.3,6920.77886136151
BOL,2000,75.6,3364.02436571423
BOL,2005,56.3,4025.10904617997
BOL,2017,28.9,8244.93344575115
BOL,2018,27.7,8669.82784866231
BOL,2004,59.8,3802.81090401932
BOL,2002,67.3,3514.59137568506
BOL,2003,63.5,3617.40341020172
BIH,2001,9.6,4291.22946984878
BIH,2013,6.5,10788.2778583201
BIH,2000,9.9,4127.60380494155
BIH,2003,9.2,4911.70028426936
BIH,2012,6.7,10109.3907422377
BIH,2009,7.5,8698.18899462159
BIH,2002,9.3,4743.32635505707
BIH,2011,6.9,9757.99152824532
BIH,2007,8.3,7697.02150079236
BIH,2008,7.9,8595.84805046621
BIH,2020,5.7,16276.0466407681
BIH,2014,6.4,11148.3878335826
BIH,2010,7.2,9087.64475202939
BIH,2018,6,14801.2221637835
BIH,2004,9,5405.69712517756
BIH,2021,5.6,18379.5525047191
BIH,2006,8.6,6879.30694188748
BIH,2017,6.1,13582.1736974909
BIH,2019,5.9,16354.4901444071
BIH,2005,8.9,5959.02483138061
BIH,2016,6.2,12869.7519392948
BIH,2015,6.3,11825.9932485406
BWA,2005,71.3,10907.367049142
BWA,2006,68.8,11957.5752435946
BWA,2008,68.8,13136.4408705378
BWA,2018,39,15321.5223530076
BWA,2004,73.7,10298.3068912566
BWA,2019,37.7,15758.8428810438
BWA,2007,68.6,12739.302747885
BWA,2021,34.9,16449.1388641523
BWA,2001,73.2,8964.84669172997
BWA,2015,45.4,13420.506600771
BWA,2016,43.5,15277.0423219562
BWA,2017,39.9,14656.772988721
BWA,2011,61.2,12976.5291954634
BWA,2012,55.2,12069.7185225515
BWA,2003,73.1,9937.09704587329
BWA,2020,36.3,14303.755793249
BWA,2000,74,8922.36997837435
BWA,2010,62.6,12139.7497346694
BWA,2013,50.3,12833.5439166035
BWA,2014,48.2,14338.5740818842
BWA,2009,65.9,11119.806162005
BWA,2002,72.2,9478.56674449649
BRA,2007,21.8,12522.5159385831
BRA,2020,14.7,14900.104216322
BRA,2010,18.6,14254.5197697447
BRA,2006,23.2,11614.4985380566
BRA,2009,19.6,13222.7488780015
BRA,2000,34.7,8994.74306173275
BRA,2021,14.4,16260.0987486322
BRA,2017,15.4,14477.8617680601
BRA,2003,28.4,9693.55548229648
BRA,2004,26.5,10407.8393520952
BRA,2005,24.8,10954.8602631484
BRA,2001,32.5,9202.87648388982
BRA,2018,15.2,14971.0546665932
BRA,2019,14.9,15307.9412354827
BRA,2008,20.6,13281.0743858475
BRA,2016,16.7,14208.1611051807
BRA,2002,30.4,9510.82388258312
BRA,2014,16.3,15664.8017411414
BRA,2011,17.9,14989.1577837574
BRA,2012,17.2,14994.3434693981
BRA,2013,16.7,15535.723765174
BRA,2015,15.9,14692.6323066956
VGB,2004,15.5,
VGB,2003,15.5,
VGB,2016,12.3,
VGB,2005,15.4,
VGB,2014,13.1,
VGB,2009,14.8,
VGB,2012,13.8,
VGB,2013,13.4,
VGB,2017,11.9,
VGB,2006,15.3,
VGB,2015,12.7,
VGB,2001,15.6,
VGB,2008,15,
VGB,2010,14.5,
VGB,2011,14.2,
VGB,2000,15.7,
VGB,2007,15.3,
VGB,2002,15.6,
VGB,2019,11.2,
VGB,2020,10.9,
VGB,2018,11.5,
VGB,2021,10.5,
BRN,2007,9.5,80302.2199299065
BRN,2010,9.7,78784.8272242349
BRN,2006,9.5,79312.3333137377
BRN,2002,9.8,70522.9035780364
BRN,2017,11,60173.0511336013
BRN,2020,11.5,65054.1943212652
BRN,2001,10,68169.5022821683
BRN,2009,9.6,76993.474621141
BRN,2018,11.2,61084.2580438679
BRN,2000,10.3,66212.6098228208
BRN,2008,9.5,79040.2883075579
BRN,2012,10,86588.6095204115
BRN,2005,9.5,74921.4136118765
BRN,2003,9.7,72627.3339025796
BRN,2011,9.8,82300.6560453021
BRN,2016,10.8,55477.4693975286
BRN,2013,10.2,82305.276253661
BRN,2015,10.6,61572.6217036362
BRN,2004,9.5,73618.9315037168
BRN,2021,11.5,66347.6580584904
BRN,2019,11.4,64029.4429997241
BRN,2014,10.4,80027.9852998551
BGR,2004,14.2,9201.71602001084
BGR,2001,16.7,6961.06261541973
BGR,2002,16,7937.37826853105
BGR,2011,10.4,15747.3923747037
BGR,2003,15.2,8417.45455930449
BGR,2008,11.4,14346.9411471568
BGR,2005,13.3,10291.4238650414
BGR,2012,9.8,16327.249316632
BGR,2019,6.7,25527.2635620283
BGR,2013,9.2,16649.3726338943
BGR,2009,11.1,14180.7101006026
BGR,2000,17.4,6422.77942664747
BGR,2014,8.7,17616.3879467033
BGR,2006,12.4,11408.088727793
BGR,2020,6.5,25736.21821491
BGR,2010,10.8,14955.8951303858
BGR,2018,7,23005.9250630132
BGR,2007,11.8,12822.2664644766
BGR,2017,7.3,21457.9019850147
BGR,2021,6.3,29406.5795920851
BGR,2015,8.1,18385.9803612081
BGR,2016,7.7,20065.6187121395
BFA,2020,85.4,2206.61225205539
BFA,2017,94.5,1978.15501161376
BFA,2018,91.3,2100.53092354319
BFA,2008,133.1,1356.37219555766
BFA,2019,88.2,2195.35561873689
BFA,2013,108.7,1629.31783621598
BFA,2001,174.7,951.314407021718
BFA,2000,178.7,899.584820546202
BFA,2009,127.2,1364.89564531445
BFA,2014,104.7,1637.92805098986
BFA,2021,82.6,2401.22808557494
BFA,2003,165,1041.89856330638
BFA,2015,101.1,1657.91610692212
BFA,2002,170.2,977.668518493994
BFA,2010,121.9,1454.57874744176
BFA,2007,139.3,1295.4671174055
BFA,2012,112.9,1568.0668585351
BFA,2004,159.1,1083.24931305826
BFA,2016,97.7,1833.43305343067
BFA,2011,117.2,1536.80894422349
BFA,2005,152.8,1176.3572973137
BFA,2006,146,1248.87304213661
BDI,2003,138.1,545.775539314511
BDI,2004,131.7,566.091631453863
BDI,2018,59.1,758.249031649132
BDI,2008,103.5,625.243739608448
BDI,2009,97,620.896733786154
BDI,2021,52.6,787.942778727228
BDI,2000,154.6,532.425919852103
BDI,2001,149.5,542.030190166285
BDI,2002,143.9,559.112337329033
BDI,2005,124.7,567.700700411859
BDI,2006,117.5,595.205565689488
BDI,2007,110.3,609.593595544823
BDI,2017,61.7,750.787616270977
BDI,2011,85.6,646.103127483227
BDI,2012,80.5,651.952327282116
BDI,2013,75.7,696.497000211236
BDI,2010,91,630.358192954177
BDI,2015,67.9,797.05011411535
BDI,2019,56.7,760.604126124997
BDI,2014,71.6,728.870060256426
BDI,2016,64.6,766.587220607525
BDI,2020,54.6,751.200911855438
CPV,2018,15.9,7490.14137164914
CPV,2017,17,7130.85415218192
CPV,2007,27.8,5471.65091632714
